code,open,close,high,low,volume,money,pct_change,tradDays,date
000011.XSHE,11.2,11.23,11.59,10.58,38688148.0,427736775.4899999,-0.0008195828291496232,5,2021-01-17
000011.XSHE,11.0,10.97,12.41,10.95,63112717.0,732958093.59,-0.0026474621228430584,5,2021-01-24
000012.XSHE,7.4,7.86,7.93,7.09,373170095.0,2792827630.7199993,0.004696350432632057,4,2020-12-27
000012.XSHE,7.8,7.38,7.8,7.04,312147881.0,2312278303.9900007,-0.004809595799117772,4,2021-01-03
000012.XSHE,7.38,7.0,7.77,6.81,355908733.0,2618162420.8999996,-0.0038052008591588082,5,2021-01-10
000012.XSHE,7.0,6.89,7.04,6.6,207976148.0,1418482039.84,-0.0011024594146432642,5,2021-01-17
000012.XSHE,6.85,7.3,7.37,6.77,236436230.0,1669585302.56,0.004102393131428128,5,2021-01-24
000014.XSHE,8.38,8.14,8.38,7.98,7036790.0,57475302.94,-0.002501116155207983,4,2020-12-27
000014.XSHE,8.14,8.28,8.32,8.0,5672980.0,46426600.470000006,0.001399929475907502,4,2021-01-03
000014.XSHE,8.27,7.85,8.27,7.54,11627322.0,93100478.32,-0.004296109658004754,5,2021-01-10
000014.XSHE,7.86,7.78,8.1,7.42,11687206.0,89929268.75,-0.0007113532724514204,5,2021-01-17
000014.XSHE,7.78,8.05,8.71,7.68,36230399.0,302018531.42,0.0026637278632417605,5,2021-01-24
000016.XSHE,6.75,6.44,6.88,6.37,99273883.0,658401123.3199999,-0.0037965289195505125,4,2020-12-27
000016.XSHE,6.44,6.61,6.68,6.2,101156509.0,652651774.92,0.0016948014255051547,4,2021-01-03
000016.XSHE,6.71,6.69,7.01,6.4,198987708.0,1340486576.4800003,0.0007902696101929063,5,2021-01-10
000016.XSHE,6.68,7.19,7.38,6.57,323746094.0,2273365164.46,0.0050050925262161705,5,2021-01-17
000016.XSHE,7.09,7.08,7.28,6.73,233759188.0,1632938249.1000001,-0.0011083889142438075,5,2021-01-24
000017.XSHE,2.52,2.44,2.54,2.39,10093051.0,24818305.029999994,-0.0008008394878721292,4,2020-12-27
000017.XSHE,2.43,2.41,2.46,2.37,7232978.0,17474800.909999996,-0.0002999700009999051,4,2021-01-03
000017.XSHE,2.4,2.34,2.45,2.3,15057260.0,35903354.9,-0.0007002898329973029,5,2021-01-10
000017.XSHE,2.36,2.24,2.36,2.08,11637361.0,25400600.740000002,-0.0010012187799878225,5,2021-01-17
000017.XSHE,2.29,2.35,2.43,2.21,14422841.0,33782077.9,0.0010999499450004002,5,2021-01-24
000019.XSHE,8.04,7.81,8.39,7.71,42232849.0,340223630.65,-0.002604056218375561,4,2020-12-27
000019.XSHE,7.79,7.5,7.9,7.4,26312941.0,200253060.11,-0.003100129585037137,4,2021-01-03
000019.XSHE,7.49,7.39,8.02,7.27,38091364.0,291960458.79,-0.001106156288694038,5,2021-01-10
000019.XSHE,7.41,6.9,7.47,6.62,28292626.0,197259558.82000002,-0.004897920666374289,5,2021-01-17
000019.XSHE,6.85,6.81,7.07,6.77,17878836.0,123955781.60999998,-0.0009016091383434732,5,2021-01-24
000020.XSHE,9.52,9.64,9.76,9.14,4902061.0,46651481.3,-0.00010925102399983455,4,2020-12-27
000020.XSHE,9.59,9.99,10.28,9.26,9515958.0,93794303.08,0.0034963081926651096,4,2021-01-03
000020.XSHE,9.99,9.03,10.38,8.94,12389982.0,120527256.44,-0.00959268676823355,5,2021-01-10
000020.XSHE,9.04,8.960000000000003,9.18,8.56,4562746.0,40282748.86,-0.0007079125207986037,5,2021-01-17
000020.XSHE,9.6,11.35,13.56,8.949999999999998,55402879.0,674871280.27,0.023979144038755784,5,2021-01-24
000021.XSHE,20.15,18.71,20.15,18.61,64779143.0,1252725066.5500002,-0.01632452248598748,4,2020-12-27
000021.XSHE,18.5,19.01,19.05,17.68,61028290.0,1125036111.66,0.0029632131548151808,4,2021-01-03
000021.XSHE,19.11,19.36,19.82,18.56,99432427.0,1917103666.6799996,0.003461108355209852,5,2021-01-10
000021.XSHE,19.26,19.45,20.38,18.91,130102187.0,2556450347.2799997,0.0008498233406639688,5,2021-01-17
000021.XSHE,19.31,19.63,22.01,19.01,166578370.0,3382167079.19,0.0017198419923276642,5,2021-01-24
000023.XSHE,16.68,16.36,16.83,16.18,859202.0,14178247.119999997,-0.003996519136000076,4,2020-12-27
000023.XSHE,16.3,16.3,16.54,15.8,867014.0,14078168.979999999,-0.0006011700138824905,4,2021-01-03
000023.XSHE,16.15,17.0,17.39,16.08,3376918.0,56249016.86,0.006995841623369747,5,2021-01-10
000023.XSHE,17.0,16.49,17.58,16.23,2317830.0,38776283.5,-0.0051158960407269305,5,2021-01-17
000023.XSHE,16.29,16.34,16.82,16.16,1711016.0,28316407.630000003,-0.0015041510649583811,5,2021-01-24
000025.XSHE,17.36,16.89,17.46,16.56,9830385.0,167014122.76,-0.0058060296000002065,4,2020-12-27
000025.XSHE,16.99,16.9,16.99,16.49,8826504.0,147858693.96,8.692165638257698e-05,4,2021-01-03
000025.XSHE,16.91,16.18,17.28,15.88,14761874.0,246216410.74999997,-0.007196228602620591,5,2021-01-10
000025.XSHE,16.28,16.1,16.65,15.15,17270963.0,274158913.46000004,-0.0008356282623921407,5,2021-01-17
000025.XSHE,16.08,16.08,17.29,15.85,17832043.0,292715459.22,-0.00021351386134005335,5,2021-01-24
000026.XSHE,11.56,10.87,11.63,10.78,22055725.0,246365837.52999997,-0.007678426212352152,4,2020-12-27
000026.XSHE,10.87,11.43,11.73,10.6,29856911.0,334190144.93999994,0.0055885214332878075,4,2021-01-03
000026.XSHE,11.33,11.26,12.26,10.89,46736585.0,544839102.8,-0.001729418319807996,5,2021-01-10
000026.XSHE,11.29,11.49,11.63,10.75,32632974.0,363217432.3299999,0.0022780433483078344,5,2021-01-17
000026.XSHE,11.42,12.65,13.11,11.42,57192831.0,708318592.9899999,0.011639705384796528,5,2021-01-24
000027.XSHE,5.69,6.38,6.38,5.58,304297491.0,1852879785.1,0.0064014782528170056,4,2020-12-27
000027.XSHE,6.48,6.09,6.66,6.06,442760814.0,2794462608.36,-0.0029067878539690284,4,2021-01-03
000027.XSHE,6.11,6.05,6.34,5.85,344428393.0,2090249127.5700002,-0.0004078914928284938,5,2021-01-10
000027.XSHE,6.04,5.96,6.22,5.76,216664806.0,1299617466.97,-0.0009064623690459017,5,2021-01-17
000027.XSHE,5.88,5.73,5.98,5.72,127180274.0,746622368.8399999,-0.002299499776048042,5,2021-01-24
000028.XSHE,46.72,46.88,49.0,45.41,21848314.0,1026544417.79,0.0013332488520061414,4,2020-12-27
000028.XSHE,46.92,45.8,47.25,44.48,16075841.0,733774748.5999999,-0.010894183845214123,4,2021-01-03
000028.XSHE,45.82,43.03,45.98,42.44,27311420.0,1200415072.1499999,-0.02746588463726929,5,2021-01-10
000028.XSHE,43.05,42.32,43.49,42.0,19026995.0,811216979.7500001,-0.007178712021384981,5,2021-01-17
000028.XSHE,42.32,41.98,43.3,41.6,16607985.0,706806861.38,-0.003443072856553986,5,2021-01-24
000029.XSHE,7.49,7.0,7.5,6.92,36181356.0,260019179.04000002,-0.0050973597943217985,4,2020-12-27
000029.XSHE,7.0,7.14,7.25,6.95,25199807.0,179309469.8,0.0013998693258150396,4,2021-01-03
000029.XSHE,7.11,6.74,7.14,6.32,58552429.0,397987718.33000004,-0.004007436086371441,5,2021-01-10
000029.XSHE,6.67,7.84,8.18,6.62,97798802.0,717840983.34,0.011031812852077438,5,2021-01-17
000029.XSHE,7.58,7.16,8.16,7.16,103277253.0,792846303.54,-0.006788628323189272,5,2021-01-24
000030.XSHE,7.4,7.37,7.95,7.33,57284669.0,433772256.67999995,-0.00040411849277455225,4,2020-12-27
000030.XSHE,7.43,7.34,7.76,7.21,51809847.0,384973861.32,-0.0003158161562258899,4,2021-01-03
000030.XSHE,7.34,6.69,7.63,6.54,71673412.0,514899845.93999994,-0.006493073267727967,5,2021-01-10
000030.XSHE,6.69,6.43,6.88,6.32,45091485.0,295902159.24,-0.0025980105339640236,5,2021-01-17
000030.XSHE,6.43,6.82,7.08,6.32,87335691.0,592545412.8000001,0.0038825305352319095,5,2021-01-24
000031.XSHE,4.58,4.41,4.6,4.32,28740620.000000004,128033545.34000002,-0.0019995890144369755,4,2020-12-27
000031.XSHE,4.4,4.4,4.44,4.33,16907056.0,74220810.75999999,-0.00010023999599195754,4,2021-01-03
000031.XSHE,4.39,4.26,4.42,4.1,41014781.0,174845284.74,-0.0014018686001198155,5,2021-01-10
000031.XSHE,4.25,4.22,4.32,4.04,39444941.99999999,164817080.41,-0.00040112936795644316,5,2021-01-17
000031.XSHE,4.22,4.13,4.44,4.12,43185366.0,184303365.19999996,-0.0009016886706399996,5,2021-01-24
000032.XSHE,19.36,19.18,19.6,18.98,5072537.0,97727683.28999999,-0.002814275757052065,4,2020-12-27
000032.XSHE,19.21,17.9,19.21,17.5,9521922.0,174726769.42000002,-0.012762243117716676,4,2021-01-03
000032.XSHE,17.86,19.59,20.99,17.79,18943384.0,374942221.26,0.016851836905359185,5,2021-01-10
000032.XSHE,19.59,19.32,19.85,18.42,9903037.0,189481064.83,-0.002726102961296384,5,2021-01-17
000032.XSHE,18.74,19.02,19.8,18.21,11133044.0,208606141.67,-0.0030417635185054914,5,2021-01-24
000034.XSHE,21.63,21.0,21.64,19.55,77411188.0,1590633331.0,-0.007759233904512053,4,2020-12-27
000034.XSHE,21.01,21.46,22.27,20.37,56793859.0,1213830057.5499997,0.004602075098694813,4,2021-01-03
000034.XSHE,22.28,21.15,22.73,20.47,78025391.0,1683716329.6799996,-0.003174774194230401,5,2021-01-10
000034.XSHE,21.0,20.2,21.37,20.0,56723151.0,1167835356.29,-0.00949458238679357,5,2021-01-17
000034.XSHE,20.03,19.86,20.82,19.7,52119470.0,1053893757.79,-0.003426961325719069,5,2021-01-24
000035.XSHE,4.43,4.18,4.43,4.11,35958646.0,153555537.01000002,-0.0025982500781078777,4,2020-12-27
000035.XSHE,4.15,4.11,4.17,4.0,26190454.0,107255459.21000001,-0.0007002899129892048,4,2021-01-03
